order_id,customer_id,order_date,total_amount,status,order_year,order_month,order_day_of_week,order_size,is_suspicious
1,103,2024-01-01 00:00:00,465.32,completed,2024,1,Monday,Extra Large,True
2,436,2024-01-01 01:00:00,208.5,completed,2024,1,Monday,Large,False
3,861,2024-01-01 02:00:00,453.99,completed,2024,1,Monday,Extra Large,True
4,271,2024-01-01 03:00:00,167.53,completed,2024,1,Monday,Large,False
5,107,2024-01-01 04:00:00,243.45,completed,2024,1,Monday,Large,False
6,72,2024-01-01 05:00:00,120.75,completed,2024,1,Monday,Medium,False
7,701,2024-01-01 06:00:00,323.83,completed,2024,1,Monday,Extra Large,False
8,21,2024-01-01 07:00:00,489.7,completed,2024,1,Monday,Extra Large,True
9,615,2024-01-01 08:00:00,305.71,completed,2024,1,Monday,Extra Large,False
10,122,2024-01-01 09:00:00,185.33,pending,2024,1,Monday,Large,False
11,467,2024-01-01 10:00:00,327.43,completed,2024,1,Monday,Extra Large,False
12,215,2024-01-01 11:00:00,70.23,completed,2024,1,Monday,Medium,False
13,331,2024-01-01 12:00:00,445.44,completed,2024,1,Monday,Extra Large,True
14,459,2024-01-01 13:00:00,256.51,completed,2024,1,Monday,Large,False
15,88,2024-01-01 14:00:00,230.18,completed,2024,1,Monday,Large,False
16,373,2024-01-01 15:00:00,297.07,completed,2024,1,Monday,Large,False
17,100,2024-01-01 16:00:00,316.14,completed,2024,1,Monday,Extra Large,False
18,872,2024-01-01 17:00:00,45.17,completed,2024,1,Monday,Small,False
19,664,2024-01-01 18:00:00,344.48,completed,2024,1,Monday,Extra Large,False
20,131,2024-01-01 19:00:00,128.55,completed,2024,1,Monday,Medium,False
21,662,2024-01-01 20:00:00,359.84,completed,2024,1,Monday,Extra Large,False
22,309,2024-01-01 21:00:00,413.04,completed,2024,1,Monday,Extra Large,True
23,770,2024-01-01 22:00:00,403.94,pending,2024,1,Monday,Extra Large,True
24,344,2024-01-01 23:00:00,280.73,completed,2024,1,Monday,Large,False
25,492,2024-01-02 00:00:00,264.88,pending,2024,1,Tuesday,Large,False
26,414,2024-01-02 01:00:00,80.01,completed,2024,1,Tuesday,Medium,False
27,806,2024-01-02 02:00:00,389.92,cancelled,2024,1,Tuesday,Extra Large,False
28,386,2024-01-02 03:00:00,142.99,completed,2024,1,Tuesday,Medium,False
29,192,2024-01-02 04:00:00,253.38,completed,2024,1,Tuesday,Large,False
30,956,2024-01-02 05:00:00,149.29,cancelled,2024,1,Tuesday,Medium,False
31,277,2024-01-02 06:00:00,75.58,completed,2024,1,Tuesday,Medium,False
32,161,2024-01-02 07:00:00,318.48,completed,2024,1,Tuesday,Extra Large,False
33,460,2024-01-02 08:00:00,36.62,completed,2024,1,Tuesday,Small,False
34,314,2024-01-02 09:00:00,376.84,completed,2024,1,Tuesday,Extra Large,False
35,22,2024-01-02 10:00:00,165.62,pending,2024,1,Tuesday,Large,False
36,253,2024-01-02 11:00:00,10.07,completed,2024,1,Tuesday,Small,False
37,748,2024-01-02 12:00:00,260.45,completed,2024,1,Tuesday,Large,False
38,857,2024-01-02 13:00:00,32.96,completed,2024,1,Tuesday,Small,False
39,561,2024-01-02 14:00:00,145.32,completed,2024,1,Tuesday,Medium,False
40,475,2024-01-02 15:00:00,356.42,completed,2024,1,Tuesday,Extra Large,False
41,59,2024-01-02 16:00:00,40.72,completed,2024,1,Tuesday,Small,False
42,511,2024-01-02 17:00:00,421.28,completed,2024,1,Tuesday,Extra Large,True
43,682,2024-01-02 18:00:00,11.87,completed,2024,1,Tuesday,Small,False
44,476,2024-01-02 19:00:00,130.94,pending,2024,1,Tuesday,Medium,False
45,700,2024-01-02 20:00:00,373.04,completed,2024,1,Tuesday,Extra Large,False
46,976,2024-01-02 21:00:00,164.97,completed,2024,1,Tuesday,Large,False
47,783,2024-01-02 22:00:00,59.93,completed,2024,1,Tuesday,Medium,False
48,190,2024-01-02 23:00:00,186.51,completed,2024,1,Tuesday,Large,False
49,958,2024-01-03 00:00:00,142.49,completed,2024,1,Wednesday,Medium,False
50,687,2024-01-03 01:00:00,422.93,cancelled,2024,1,Wednesday,Extra Large,True
51,958,2024-01-03 02:00:00,163.54,completed,2024,1,Wednesday,Large,False
52,563,2024-01-03 03:00:00,396.58,pending,2024,1,Wednesday,Extra Large,False
53,876,2024-01-03 04:00:00,447.02,completed,2024,1,Wednesday,Extra Large,True
54,567,2024-01-03 05:00:00,222.57,completed,2024,1,Wednesday,Large,False
55,244,2024-01-03 06:00:00,455.87,completed,2024,1,Wednesday,Extra Large,True
56,832,2024-01-03 07:00:00,194.89,completed,2024,1,Wednesday,Large,False
57,505,2024-01-03 08:00:00,482.4,completed,2024,1,Wednesday,Extra Large,True
58,131,2024-01-03 09:00:00,53.75,pending,2024,1,Wednesday,Medium,False
59,485,2024-01-03 10:00:00,346.64,completed,2024,1,Wednesday,Extra Large,False
60,819,2024-01-03 11:00:00,251.97,pending,2024,1,Wednesday,Large,False
61,647,2024-01-03 12:00:00,199.95,completed,2024,1,Wednesday,Large,False
62,21,2024-01-03 13:00:00,320.03,completed,2024,1,Wednesday,Extra Large,False
63,841,2024-01-03 14:00:00,354.89,completed,2024,1,Wednesday,Extra Large,False
64,167,2024-01-03 15:00:00,12.14,completed,2024,1,Wednesday,Small,False
65,274,2024-01-03 16:00:00,91.81,cancelled,2024,1,Wednesday,Medium,False
66,388,2024-01-03 17:00:00,359.39,completed,2024,1,Wednesday,Extra Large,False
67,601,2024-01-03 18:00:00,336.53,completed,2024,1,Wednesday,Extra Large,False
68,316,2024-01-03 19:00:00,483.36,completed,2024,1,Wednesday,Extra Large,True
69,14,2024-01-03 20:00:00,382.91,completed,2024,1,Wednesday,Extra Large,False
70,242,2024-01-03 21:00:00,475.88,completed,2024,1,Wednesday,Extra Large,True
71,777,2024-01-03 22:00:00,354.24,completed,2024,1,Wednesday,Extra Large,False
72,346,2024-01-03 23:00:00,156.05,completed,2024,1,Wednesday,Large,False
73,565,2024-01-04 00:00:00,61.63,completed,2024,1,Thursday,Medium,False
74,898,2024-01-04 01:00:00,393.09,completed,2024,1,Thursday,Extra Large,False
75,340,2024-01-04 02:00:00,325.63,completed,2024,1,Thursday,Extra Large,False
76,92,2024-01-04 03:00:00,33.61,completed,2024,1,Thursday,Small,False
77,367,2024-01-04 04:00:00,186.42,completed,2024,1,Thursday,Large,False
78,956,2024-01-04 05:00:00,478.83,completed,2024,1,Thursday,Extra Large,True
79,455,2024-01-04 06:00:00,255.2,completed,2024,1,Thursday,Large,False
80,428,2024-01-04 07:00:00,222.04,completed,2024,1,Thursday,Large,False
81,509,2024-01-04 08:00:00,234.27,completed,2024,1,Thursday,Large,False
82,776,2024-01-04 09:00:00,112.35,completed,2024,1,Thursday,Medium,False
83,943,2024-01-04 10:00:00,190.67,completed,2024,1,Thursday,Large,False
84,35,2024-01-04 11:00:00,191.21,completed,2024,1,Thursday,Large,False
85,206,2024-01-04 12:00:00,35.65,pending,2024,1,Thursday,Small,False
86,81,2024-01-04 13:00:00,386.11,completed,2024,1,Thursday,Extra Large,False
87,932,2024-01-04 14:00:00,214.09,completed,2024,1,Thursday,Large,False
88,562,2024-01-04 15:00:00,412.87,completed,2024,1,Thursday,Extra Large,True
89,872,2024-01-04 16:00:00,426.67,completed,2024,1,Thursday,Extra Large,True
90,388,2024-01-04 17:00:00,113.88,completed,2024,1,Thursday,Medium,False
91,2,2024-01-04 18:00:00,332.1,completed,2024,1,Thursday,Extra Large,False
92,390,2024-01-04 19:00:00,241.42,completed,2024,1,Thursday,Large,False
93,566,2024-01-04 20:00:00,441.28,completed,2024,1,Thursday,Extra Large,True
94,106,2024-01-04 21:00:00,115.71,completed,2024,1,Thursday,Medium,False
95,772,2024-01-04 22:00:00,342.13,completed,2024,1,Thursday,Extra Large,False
96,822,2024-01-04 23:00:00,307.8,completed,2024,1,Thursday,Extra Large,False
97,477,2024-01-05 00:00:00,154.7,completed,2024,1,Friday,Large,False
98,703,2024-01-05 01:00:00,76.93,completed,2024,1,Friday,Medium,False
99,402,2024-01-05 02:00:00,329.3,completed,2024,1,Friday,Extra Large,False
100,730,2024-01-05 03:00:00,371.91,pending,2024,1,Friday,Extra Large,False
101,556,2024-01-05 04:00:00,164.66,completed,2024,1,Friday,Large,False
102,162,2024-01-05 05:00:00,325.97,completed,2024,1,Friday,Extra Large,False
103,202,2024-01-05 06:00:00,203.61,completed,2024,1,Friday,Large,False
104,958,2024-01-05 07:00:00,359.47,pending,2024,1,Friday,Extra Large,False
105,996,2024-01-05 08:00:00,107.62,completed,2024,1,Friday,Medium,False
106,270,2024-01-05 09:00:00,446.21,completed,2024,1,Friday,Extra Large,True
107,863,2024-01-05 10:00:00,150.83,completed,2024,1,Friday,Large,False
108,816,2024-01-05 11:00:00,190.22,completed,2024,1,Friday,Large,False
109,271,2024-01-05 12:00:00,38.47,cancelled,2024,1,Friday,Small,False
110,456,2024-01-05 13:00:00,64.64,completed,2024,1,Friday,Medium,False
111,462,2024-01-05 14:00:00,262.77,completed,2024,1,Friday,Large,False
112,727,2024-01-05 15:00:00,141.12,pending,2024,1,Friday,Medium,False
113,252,2024-01-05 16:00:00,419.39,completed,2024,1,Friday,Extra Large,True
114,702,2024-01-05 17:00:00,17.2,completed,2024,1,Friday,Small,False
115,296,2024-01-05 18:00:00,195.76,completed,2024,1,Friday,Large,False
116,725,2024-01-05 19:00:00,175.3,completed,2024,1,Friday,Large,False
117,720,2024-01-05 20:00:00,19.47,completed,2024,1,Friday,Small,False
118,749,2024-01-05 21:00:00,70.94,completed,2024,1,Friday,Medium,False
119,338,2024-01-05 22:00:00,212.68,completed,2024,1,Friday,Large,False
120,879,2024-01-05 23:00:00,251.5,completed,2024,1,Friday,Large,False
121,53,2024-01-06 00:00:00,208.1,pending,2024,1,Saturday,Large,False
122,792,2024-01-06 01:00:00,270.16,completed,2024,1,Saturday,Large,False
123,922,2024-01-06 02:00:00,301.61,pending,2024,1,Saturday,Extra Large,False
124,217,2024-01-06 03:00:00,14.86,completed,2024,1,Saturday,Small,False
125,764,2024-01-06 04:00:00,237.41,completed,2024,1,Saturday,Large,False
126,188,2024-01-06 05:00:00,482.11,pending,2024,1,Saturday,Extra Large,True
127,380,2024-01-06 06:00:00,264.33,completed,2024,1,Saturday,Large,False
128,493,2024-01-06 07:00:00,342.0,completed,2024,1,Saturday,Extra Large,False
129,41,2024-01-06 08:00:00,162.81,completed,2024,1,Saturday,Large,False
130,157,2024-01-06 09:00:00,389.26,completed,2024,1,Saturday,Extra Large,False
131,15,2024-01-06 10:00:00,388.73,completed,2024,1,Saturday,Extra Large,False
132,813,2024-01-06 11:00:00,265.44,cancelled,2024,1,Saturday,Large,False
133,65,2024-01-06 12:00:00,488.25,completed,2024,1,Saturday,Extra Large,True
134,857,2024-01-06 13:00:00,71.52,completed,2024,1,Saturday,Medium,False
135,839,2024-01-06 14:00:00,18.3,completed,2024,1,Saturday,Small,False
136,521,2024-01-06 15:00:00,387.38,completed,2024,1,Saturday,Extra Large,False
137,344,2024-01-06 16:00:00,405.51,completed,2024,1,Saturday,Extra Large,True
138,129,2024-01-06 17:00:00,68.9,completed,2024,1,Saturday,Medium,False
139,648,2024-01-06 18:00:00,140.14,completed,2024,1,Saturday,Medium,False
140,472,2024-01-06 19:00:00,18.6,completed,2024,1,Saturday,Small,False
141,63,2024-01-06 20:00:00,153.72,pending,2024,1,Saturday,Large,False
142,139,2024-01-06 21:00:00,388.84,completed,2024,1,Saturday,Extra Large,False
143,499,2024-01-06 22:00:00,263.8,completed,2024,1,Saturday,Large,False
144,593,2024-01-06 23:00:00,180.57,completed,2024,1,Saturday,Large,False
145,392,2024-01-07 00:00:00,192.15,completed,2024,1,Sunday,Large,False
146,675,2024-01-07 01:00:00,10.66,completed,2024,1,Sunday,Small,False
147,419,2024-01-07 02:00:00,156.9,cancelled,2024,1,Sunday,Large,False
148,289,2024-01-07 03:00:00,326.76,completed,2024,1,Sunday,Extra Large,False
149,379,2024-01-07 04:00:00,487.36,pending,2024,1,Sunday,Extra Large,True
150,773,2024-01-07 05:00:00,425.06,completed,2024,1,Sunday,Extra Large,True
151,490,2024-01-07 06:00:00,21.56,cancelled,2024,1,Sunday,Small,False
152,231,2024-01-07 07:00:00,450.29,completed,2024,1,Sunday,Extra Large,True
153,41,2024-01-07 08:00:00,393.77,pending,2024,1,Sunday,Extra Large,False
154,28,2024-01-07 09:00:00,392.38,completed,2024,1,Sunday,Extra Large,False
155,135,2024-01-07 10:00:00,234.42,completed,2024,1,Sunday,Large,False
156,201,2024-01-07 11:00:00,205.02,pending,2024,1,Sunday,Large,False
157,840,2024-01-07 12:00:00,158.43,completed,2024,1,Sunday,Large,False
158,780,2024-01-07 13:00:00,42.19,completed,2024,1,Sunday,Small,False
159,930,2024-01-07 14:00:00,121.84,completed,2024,1,Sunday,Medium,False
